RID,SiteID,Timestamp,Reading,Unit
113,INC-17Level,2/18/2018 4:45,0.926011,ft
114,INC-17Level,2/18/2018 5:00,0.920855,ft
115,INC-17Level,2/18/2018 5:15,0.920537,ft
116,INC-17Level,2/18/2018 5:30,0.911992,ft
117,INC-17Level,2/18/2018 5:45,0.916543,ft
118,INC-17Level,2/18/2018 6:00,0.922124,ft
119,INC-17Level,2/18/2018 6:15,0.92816,ft
120,INC-17Level,2/18/2018 6:30,0.923029,ft
121,INC-17Level,2/18/2018 6:45,0.932859,ft
122,INC-17Level,2/18/2018 7:00,0.93043,ft
123,INC-17Level,2/18/2018 7:15,0.933252,ft
124,INC-17Level,2/18/2018 7:30,0.948188,ft
125,INC-17Level,2/18/2018 7:45,0.961133,ft
126,INC-17Level,2/18/2018 8:00,0.953593,ft
127,INC-17Level,2/18/2018 8:15,0.959377,ft
128,INC-17Level,2/18/2018 8:30,0.978933,ft
129,INC-17Level,2/18/2018 8:45,0.985505,ft
130,INC-17Level,2/18/2018 9:00,0.978514,ft
131,INC-17Level,2/18/2018 9:15,0.982317,ft
132,INC-17Level,2/18/2018 9:30,0.990105,ft
133,INC-17Level,2/18/2018 9:45,0.992452,ft
134,INC-17Level,2/18/2018 10:00,1.01133,ft
135,INC-17Level,2/18/2018 10:15,1.011014,ft
136,INC-17Level,2/18/2018 10:30,1.017399,ft
137,INC-17Level,2/18/2018 10:45,1.020723,ft
138,INC-17Level,2/18/2018 11:00,1.023967,ft
139,INC-17Level,2/18/2018 11:15,1.029933,ft
140,INC-17Level,2/18/2018 11:30,1.021092,ft
141,INC-17Level,2/18/2018 11:45,1.02814,ft
142,INC-17Level,2/18/2018 12:00,1.016367,ft
143,INC-17Level,2/18/2018 12:15,1.019493,ft
144,INC-17Level,2/18/2018 12:30,1.016575,ft
145,INC-17Level,2/18/2018 12:45,1.020504,ft
146,INC-17Level,2/18/2018 13:00,1.018307,ft
147,INC-17Level,2/18/2018 13:15,1.011614,ft
148,INC-17Level,2/18/2018 13:30,1.025184,ft
149,INC-17Level,2/18/2018 13:45,1.007723,ft
150,INC-17Level,2/18/2018 14:00,1.000338,ft
151,INC-17Level,2/18/2018 14:15,1.003171,ft
152,INC-17Level,2/18/2018 14:30,1.008479,ft
153,INC-17Level,2/18/2018 14:45,1.002228,ft
154,INC-17Level,2/18/2018 15:00,0.99739,ft
155,INC-17Level,2/18/2018 15:15,1.005229,ft
156,INC-17Level,2/18/2018 15:30,1.010372,ft
157,INC-17Level,2/18/2018 15:45,1.024735,ft
158,INC-17Level,2/18/2018 16:00,1.027945,ft
159,INC-17Level,2/18/2018 16:15,1.037417,ft
160,INC-17Level,2/18/2018 16:30,1.027746,ft
161,INC-17Level,2/18/2018 16:45,1.028757,ft
162,INC-17Level,2/18/2018 17:00,1.033413,ft
163,INC-17Level,2/18/2018 17:15,1.045156,ft
164,INC-17Level,2/18/2018 17:30,1.044934,ft
165,INC-17Level,2/18/2018 17:45,1.040435,ft
166,INC-17Level,2/18/2018 18:00,1.043176,ft
167,INC-17Level,2/18/2018 18:15,1.043788,ft
168,INC-17Level,2/18/2018 18:30,1.040062,ft
169,INC-17Level,2/18/2018 18:45,1.037204,ft
170,INC-17Level,2/18/2018 19:00,1.028212,ft
171,INC-17Level,2/18/2018 19:15,1.036924,ft
172,INC-17Level,2/18/2018 19:30,1.042042,ft
173,INC-17Level,2/18/2018 19:45,1.036135,ft
174,INC-17Level,2/18/2018 20:00,1.021458,ft
175,INC-17Level,2/18/2018 20:15,1.027522,ft
176,INC-17Level,2/18/2018 20:30,1.036709,ft
177,INC-17Level,2/18/2018 20:45,1.040829,ft
178,INC-17Level,2/18/2018 21:00,1.038117,ft
179,INC-17Level,2/18/2018 21:15,1.043221,ft
180,INC-17Level,2/18/2018 21:30,1.040388,ft
181,INC-17Level,2/18/2018 21:45,1.031355,ft
